Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit
Kontaktanfrage Verkehrsbussen,92,139,15055,,115,0.001,2.25,12,41,2729,4,31,89,12,29,108,33%,34%,0.419
Präventionsabteilung,92,114,3815,4,99,0.001,1.878,12,42,322,6,21,92,12,21,33,50%,23%,0.275
Stalking,92,112,6311,,105,0.001,10.665,81,162,6674,36,74,90,79,73,56,44%,80%,0.495
Weitere Informationen,92,397,14624,6,301,0.001,65.532,49,83,4051,29,59,86,45,54,37,59%,64%,0.373
Forensisches Institut Zürich,89,113,9120,1,102,0.001,2.032,35,92,4947,14,54,88,34,53,81,40%,61%,0.31
Oberglatt: Tote identifiziert - Revokation Vermisstmeldung,82,86,1282,,80,0.001,2.517,4,8,77,3,17,81,4,17,15,75%,21%,0.398
Verkehrsprävention,79,135,8061,3,117,0.001,41.636,42,109,4283,20,49,78,42,49,60,48%,62%,0.697
Eisbulletin,77,87,1929,,76,0.001,1.879,3,3,0,3,13,77,3,13,22,100%,17%,0.327
Hochfelden: 10‘000 Franken Belohnung in der Vermisstensache Mei HAN FORSTER,77,83,1970,,77,0.002,8.97,3,3,0,3,19,75,3,18,24,100%,25%,0.638
Unsere Angebote,77,100,2327,,82,0.001,1.848,4,13,227,2,4,77,4,4,23,50%,5%,0.248
Social Media,76,93,10095,,88,0.001,6.881,20,58,1182,9,33,74,20,33,109,45%,43%,0.476
Betrug,71,75,3155,,72,0.002,1.89,39,77,3451,22,39,71,39,39,42,56%,55%,0.346
Broschüren,71,95,3758,12,80,0.002,6.943,10,30,489,3,31,71,10,31,40,30%,44%,0.523
Feedback FP,70,101,11123,,83,0.001,4.698,12,35,5321,6,22,66,12,21,110,50%,31%,0.614
Fachstelle Brückenbauer (Interkulturelles Netzwerk),67,95,14286,1,84,0.001,1.774,36,58,8366,25,44,54,25,31,150,69%,66%,0.211
Schifffahrt/Gewässer,67,81,6879,2,77,0.001,5.115,49,78,6477,31,51,64,46,49,85,63%,76%,0.464
Polizeistellen,66,81,2056,2,67,0.001,2.849,5,30,1167,1,18,65,5,18,25,20%,27%,0.215
Affoltern am Albis: Motorradlenker verletzt - Zeugenaufruf,65,88,1420,,57,0.002,4.365,18,50,468,13,25,57,16,22,16,72%,38%,0.457
KAPO ZH - Eine Applikation für mobile Geräte,62,71,3912,,65,0.001,2.486,20,38,1750,12,29,61,19,28,55,60%,47%,0.383
Bauma: Vermisstmeldung Natalija Osmajlic,61,64,2507,,58,0.001,3.303,,,,,10,61,,10,39,0%,16%,0.53
Amtsstellen/Organisationen,58,68,2224,3,62,0.001,2.339,1,1,0,1,9,58,1,9,33,100%,16%,0.241
Gesetze/Verordnungen,57,84,7378,4,68,0.002,4.158,25,75,4469,7,33,56,24,32,88,28%,58%,0.356
IRE - Interventionsstelle gegen Radikalisierung und gewalttätigen Extremismus,55,67,8572,,58,0.001,2.548,36,72,6746,24,35,53,34,33,128,67%,64%,0.438
Adressen und Links,54,128,5879,2,113,0.001,4.713,15,27,383,8,30,51,15,29,46,53%,56%,0.239
Oberglatt: Tote Person gefunden,52,62,1639,,53,0.002,1.622,7,15,247,5,12,51,7,12,26,71%,23%,0.365
Kontaktanfrage Verkehrspolizei,49,63,8509,1,57,0.001,2.746,1,2,3,0,10,48,1,10,135,0%,20%,0.531
Laserpointer,49,57,2488,,56,0.001,1.753,39,48,2233,33,39,38,28,28,44,85%,80%,0.282
Schusswaffen,49,60,1889,2,55,0.001,1.989,16,31,2662,9,26,47,16,24,31,56%,53%,0.233
Bauma: Unfall fordert schwerverletzte Frau,47,59,913,,38,0.001,1.659,8,17,218,6,9,42,8,9,15,75%,19%,0.588
Kinder im Strassenverkehr,47,55,3389,,55,0.002,1.911,36,49,1730,28,40,47,36,40,62,78%,85%,0.391
Luftverkehr,47,55,2828,1,46,0.001,1.686,9,13,618,7,12,47,9,12,51,78%,26%,0.278
Verfahren zur Identifikation von Fahrunfähigkeit,46,62,2915,,52,0.002,3.413,21,51,2567,14,25,42,20,24,47,67%,54%,0.506
Verkehrsunfallstatistik,46,73,10173,2,58,0.001,5.288,30,72,5755,12,32,44,29,30,139,40%,70%,0.429
Birmensdorf: Vermisstmeldung Dolma Tsering SHRESTHA BHUTIA,45,45,797,,38,0.002,5.774,,,,,10,45,,10,18,0%,22%,0.695
Wallisellen: Raub auf Shop - Zeugenaufruf,45,59,2800,,57,0.001,1.894,11,17,183,10,15,44,10,15,47,91%,33%,0.502
Winterthur: Frau nach Streit schwer verletzt - mutmasslicher Täter verhaftet,43,48,1604,,42,0.001,2.542,7,12,122,5,8,41,6,8,33,71%,19%,0.587
Bei Verdacht Tel. 117 – Gemeinsam gegen Einbrecher,42,55,4422,3,50,0.001,5.053,34,62,4207,24,35,39,31,32,80,71%,83%,0.782
Waffen jederzeit freiwillig abgeben,41,53,3532,2,49,0.001,1.282,31,56,1192,19,26,41,31,26,67,61%,63%,0.253
Zürich: Vermisst wird Heidi Kerber,41,47,742,,44,0.001,2.036,3,10,106,2,4,41,3,4,16,67%,10%,0.381
Einbruch,40,46,1177,1,43,0.001,1.812,16,35,2289,10,12,40,16,12,26,63%,30%,0.512
Zürich 4: Ein Schwerverletzter nach Auseinandersetzung - Nachtrag,40,57,1107,,48,0.001,1.881,,,,,7,40,,7,19,0%,18%,0.409
Fachdienst Menschenhandel,39,43,2482,,41,0.003,1.838,13,15,21,12,18,33,8,14,58,92%,46%,0.382
Verkehr,39,55,1151,1,51,0.001,2.195,,,,,3,38,,2,21,0%,8%,0.229
Bülach: Raubüberfall im Bahnhof,37,42,1459,,40,0.001,3.474,2,2,0,2,5,37,2,5,35,100%,14%,0.698
Medienangebote,37,44,596,,39,0.002,1.597,1,2,12,0,5,36,1,5,14,0%,14%,0.473
Hilfe und Beratung,36,94,4290,,70,0.001,4.522,1,1,0,1,5,35,1,5,46,100%,14%,0.394
Oberglatt: Vermisstmeldung,36,40,915,,36,0.002,2.112,5,8,1893,3,9,35,5,8,23,60%,25%,0.447
Vereidigung der Aspirantinnen und Aspiranten der Kantonspolizei Zürich,35,59,4989,2,53,0.003,1.844,25,75,6125,12,23,34,24,22,85,48%,66%,0.576
Informationsveranstaltungen für Bewerberinnen und Bewerber,34,40,1071,,39,0.005,4.464,23,100,10278,1,2,31,22,2,27,4%,6%,0.642
Zürich: Vermisst wird Angela Yanez Iza,34,50,1399,,38,0.001,1.772,,,,,5,34,,5,28,0%,15%,0.232
Jugend & Gesetz,33,47,1370,,43,0.002,2.272,16,26,863,11,19,33,16,19,29,69%,58%,0.452
Neftenbach: Fussgängerin nach Verkehrsunfall verstorben,32,33,1065,,31,0.001,1.388,7,8,3,6,14,30,7,12,32,86%,44%,0.379
Vorausschauende Polizeiarbeit,32,39,905,1,36,0.002,3.222,4,7,218,2,4,32,4,4,23,50%,13%,0.415
Adlikon b. Andelfingen: Polizei sucht Tankstellenräuber – Zeugenaufruf,31,32,350,,31,0.001,2.838,20,26,200,16,26,31,20,26,11,80%,84%,0.255
Kontaktanfrage Kriminalpolizei,31,49,5927,,46,0.001,1.564,5,21,262,1,5,28,4,5,121,20%,16%,0.551
Polizei ganz nah – Ein Blick in unseren Alltag,30,36,927,1,32,0.004,1.924,20,33,848,13,20,30,20,20,26,65%,67%,0.622
Stammhaus,30,35,537,1,29,0.001,1.944,6,14,445,4,6,29,6,6,15,67%,20%,0.561
Flyer - Stopp Häusliche Gewalt,29,35,3593,,31,0.001,1.786,3,6,17,1,14,28,3,13,103,33%,48%,0.414
Fünf Stufen bis zur Anstellung,29,37,2240,,29,0.002,1.624,,,,,6,29,,6,61,0%,21%,0.369
Lindau: Ein Toter bei Verkehrsunfall - Zeugenaufruf,29,34,1296,,32,0.001,2.056,12,21,814,8,16,28,12,15,38,67%,55%,0.559
Suche/Archiv (Aktuelle Fragen ab 2017),29,68,1267,4,59,0.001,2.821,,,,,2,29,,2,19,0%,7%,0.336
